PassengerId,Pclass,Sex,Title,Family_size,Family_Survival,FareBin_Code,AgeBin_Code,Embarked_C,Embarked_None,Embarked_Q,Embarked_S,Survived
1,3,0,0,2,0.5,0,2,0,0,0,1,0.0
2,1,1,2,2,0.5,4,3,1,0,0,0,1.0
3,3,1,1,1,0.5,1,2,0,0,0,1,1.0
4,1,1,2,2,0.0,4,3,0,0,0,1,1.0
5,3,0,0,1,0.5,1,3,0,0,0,1,0.0
6,3,0,0,1,0.5,1,2,0,0,1,0,0.0
7,1,0,0,1,0.5,4,5,0,0,0,1,0.0
8,3,0,3,5,0.0,2,0,0,0,0,1,0.0
9,3,1,2,3,1.0,2,2,0,0,0,1,1.0
10,2,1,2,2,0.0,3,1,1,0,0,0,1.0
11,3,1,1,3,1.0,2,0,0,0,0,1,1.0
12,1,1,1,1,0.5,3,5,0,0,0,1,1.0
13,3,0,0,1,0.5,1,1,0,0,0,1,0.0
14,3,0,0,7,0.0,3,3,0,0,0,1,0.0
15,3,1,1,1,0.5,0,1,0,0,0,1,0.0
16,2,1,2,1,0.5,2,5,0,0,0,1,1.0
17,3,0,3,6,0.0,3,0,0,0,1,0,0.0
18,2,0,0,1,0.5,2,3,0,0,0,1,1.0
19,3,1,2,2,0.0,2,3,0,0,0,1,0.0
20,3,1,2,1,0.5,0,2,1,0,0,0,1.0
21,2,0,0,1,0.0,3,3,0,0,0,1,0.0
22,2,0,0,1,0.5,2,3,0,0,0,1,1.0
23,3,1,1,1,0.5,1,1,0,0,1,0,1.0
24,1,0,0,1,0.5,3,2,0,0,0,1,1.0
25,3,1,1,5,0.0,2,0,0,0,0,1,0.0
26,3,1,2,7,1.0,3,3,0,0,0,1,1.0
27,3,0,0,1,0.5,0,2,1,0,0,0,0.0
28,1,0,0,6,1.0,4,1,0,0,0,1,0.0
29,3,1,1,1,0.5,1,2,0,0,1,0,1.0
30,3,0,0,1,0.5,1,2,0,0,0,1,0.0
31,1,0,0,1,0.5,3,3,1,0,0,0,0.0
32,1,1,2,2,1.0,4,4,1,0,0,0,1.0
33,3,1,1,1,0.5,0,3,0,0,1,0,1.0
34,2,0,0,1,0.5,1,6,0,0,0,1,0.0
35,1,0,0,2,1.0,4,2,1,0,0,0,0.0
36,1,0,0,2,1.0,4,4,0,0,0,1,0.0
37,3,0,0,1,0.5,0,2,1,0,0,0,1.0
38,3,0,0,1,0.5,1,2,0,0,0,1,0.0
39,3,1,1,3,0.0,2,1,0,0,0,1,0.0
40,3,1,1,2,1.0,2,1,1,0,0,0,1.0
41,3,1,2,2,0.5,1,3,0,0,0,1,0.0
42,2,1,2,2,0.0,2,2,0,0,0,1,0.0
